관리번호,주차장명,주차장형태,운영방식,주차장위치,주차면수,유무료,급지, 시간당주차요금 ,평일운영시간,동절기운영시간,토요일 운영시간,일요일운영시간,비고
1,동서울호텔길,노상,직영,광진구 구의동 598-1 일대,93,유료,3급지,3600,09~18,09~18,09~15,무료개방,공영
2,송림식당길,노상,직영,광진구 자양동 228일대,66,유료,3급지,3600,09~18,09~18,09~15,무료개방,공영
3,광진광장,노외,직영,광진구 광나루로 389(군자동),33,유료,2급지,3000,00~24,00~24,00~24,00~24,공영
4,자양4동,노외,직영,광진구 자양4동 5-5,83,유료,1급지,3000,00~24,00~24,00~24,00~24,공영
5,구의1동,노외,직영,광진구 자양로18길 78(구의동),172,유료,2급지,2400,00~24,00~24,00~24,00~24,거주자(공영)
6,구의3동,노외,직영,광진구 광나루52길 83(구의동),159,유료,3급지,2400,00~24,00~24,00~24,00~24,거주자(공영)
7,능동,노외,직영,광진구 천호대로 112길 56(능동),77,유료,2급지,2400,00~24,00~24,00~24,00~24,거주자(공영)
8,중곡3동 마을공원,노외,직영,광진구 용마산로 33길 25(중곡동),162,유료,3급지,1800,00~24,00~24,00~24,00~24,거주자(공영)
9,자양동 유수지,노외,직영,광진구 뚝섬로52길 74,281,유료,3급지,2400,00~24,00~24,00~24,00~24,거주자(공영)
10,화양동,노외,민간위탁,광진구 군자로 6길 56,44,유료,3급지,2400,00~24,00~24,00~24,00~24,공영
11,중곡복개천,노상,직영,광진구 긴고랑로 68 중곡우체국 일대,72,유료,3급지,3600,09~18,09~18,09~15,무료개방,공영
12,신성시장길,노상,민간위탁,광진구 영화사로 10(중곡동) 일대,30,유료,3급지,3600,09~18,09~18,09~15,무료개방,공영
13,영동교전통시장길,노상,직영,광진구 동일로 10길(자양4동),27,유료,3급지,2400,09~18,09~18,09~15,무료개방,공영
